"name","oracle_id","mana_cost","type_line","color_identity","layout","status","reason","semantic_class"
"Loki Laufeyson","9c78778a-6335-4949-8ade-11d0f085cb2b","{1}{R}","Legendary Creature — God Sorcerer Villain","R","normal","deferred","oracle-needs-explicit-semantics",""
"Loki, God of Lies","6f72ce67-3c17-4338-904b-26e2bf4aecdc","{1}{R}{R}","Legendary Creature — God Sorcerer Villain","R","normal","deferred","oracle-needs-explicit-semantics",""
"Loki, God of Mischief","c112852f-61d5-4b94-b864-c7d0b5333b29","{1}{U}","Legendary Creature — God Sorcerer Villain","U","normal","deferred","oracle-needs-explicit-semantics",""
"Loki, Lord of Misrule","20ec130f-05b4-4fbf-a54f-5874ae7ef90f","{3}{U}","Legendary Creature — God Sorcerer Villain","U","normal","deferred","oracle-needs-explicit-semantics",""
"Lolth, Spider Queen","7a8edf45-206e-4d0e-bd69-06f1ca70d17c","{3}{B}{B}","Legendary Planeswalker — Lolth","B","normal","deferred","noncreature-needs-explicit-semantics",""
"Long Feng, Grand Secretariat","9bf9fe83-b0df-4ef8-ac54-c0d223d4e410","{1}{B/G}{B/G}","Legendary Creature — Human Advisor","BG","normal","deferred","oracle-needs-explicit-semantics",""
"Long Lake Nuisance","a833fdf1-db0c-4846-8452-d3b2059c2355","{3}{U}","Creature — Bird","U","normal","deferred","oracle-needs-explicit-semantics",""
"Long List of the Ents","01376449-5cd2-4079-8aaa-5128634ef20b","{G}","Enchantment — Saga","G","saga","deferred","saga-chapter-needs-complete-semantics",""
"Long Rest","fc8df5c8-fda6-454c-a1ac-21c6e3d75b9c","{X}{G}{G}{G}","Sorcery","G","normal","deferred","spell-needs-explicit-semantics",""
"Long River Lurker","c65c4d01-29da-47e6-993c-a265cf1f198c","{2}{U}","Creature — Frog Scout","U","normal","deferred","oracle-needs-explicit-semantics",""
"Long River's Pull","f1993767-1d07-49c8-b8dc-04ec9840a999","{U}{U}","Instant","U","normal","deferred","spell-needs-explicit-semantics",""
"Longhorn Firebeast","c6ca1f21-3aaf-4a5e-938e-7daed67a9d6e","{2}{R}","Creature — Elemental Ox Beast","R","normal","deferred","oracle-needs-explicit-semantics",""
"Longhorn Sharpshooter","6a0a7b02-10e6-4dbf-8356-659095519480","{2}{R}","Creature — Minotaur Rogue","R","normal","deferred","oracle-needs-explicit-semantics",""
"Longshot, Rebel Bowman","f93c3468-5b1d-4fa7-a281-1009ea0f2062","{3}{R}","Legendary Creature — Human Rebel Ally","R","normal","deferred","oracle-needs-explicit-semantics",""
"Longstalk Brawl","adc8976a-0871-4fd6-9c4c-822ba9549b4b","{G}","Sorcery","G","normal","deferred","spell-needs-explicit-semantics",""
"Lonis, Genetics Expert","52d8e492-b7b7-4ad4-8f1f-5c50993e55e0","{1}{G/U}{G/U}","Legendary Creature — Snake Elf Detective","GU","normal","deferred","oracle-needs-explicit-semantics",""
"Loot Dispute","7c885698-69f2-44b5-abfe-9a2833822794","{3}{R}","Enchantment","R","normal","deferred","noncreature-needs-explicit-semantics",""
"Loot, the Key to Everything","542be13f-b9c0-4b79-b486-be576c531a82","{G}{U}{R}","Legendary Creature — Beast Noble","GRU","normal","deferred","oracle-needs-explicit-semantics",""
"Loot, the Pathfinder","68c7e459-0932-4644-a3c0-9a1eae1db7a3","{2}{G}{U}{R}","Legendary Creature — Beast Noble","GRU","normal","deferred","mana-ability-needs-explicit-semantics",""
"Lorcan, Warlock Collector","6c87c261-00a8-46f2-92c8-42009a0a2faf","{5}{B}{B}","Legendary Creature — Devil","B","normal","deferred","oracle-needs-explicit-semantics",""
"Lord Jyscal Guado","52791629-0f22-4023-bb04-c829d1600568","{1}{W}","Legendary Creature — Spirit Cleric","W","normal","deferred","oracle-needs-explicit-semantics",""
"Lord Magnus","59258149-1c18-421b-b940-d0aa29da572a","{3}{G}{W}{W}","Legendary Creature — Human Druid","GW","normal","deferred","oracle-needs-explicit-semantics",""
"Lord Skitter's Blessing","d5bd40fc-6138-4752-b3ff-b1e5fa269214","{1}{B}","Enchantment","B","normal","deferred","noncreature-needs-explicit-semantics",""
"Lord Windgrace","38a55562-1e2d-4240-9454-219a4a25d38d","{2}{B}{R}{G}","Legendary Planeswalker — Windgrace","BGR","normal","deferred","noncreature-needs-explicit-semantics",""
"Lord Xander, the Collector","d17bfa94-5046-46ae-80af-be5d1d35af13","{4}{U}{B}{R}","Legendary Creature — Vampire Demon Noble","BRU","normal","deferred","oracle-needs-explicit-semantics",""
"Lord of the Pit","ea152809-85a2-4fde-8251-3b1f267e4443","{4}{B}{B}{B}","Creature — Demon","B","normal","deferred","oracle-needs-explicit-semantics",""
"Lord of the Void","626b85f8-8889-46e6-9659-460bac79ae9b","{4}{B}{B}{B}","Creature — Demon","B","normal","deferred","oracle-needs-explicit-semantics",""
"Lore Drakkis","3ec271d8-8264-4574-8c4c-e57b35872b1e","{1}{U}{R}","Creature — Lizard Beast","RU","mutate","deferred","complex-layout",""
"Lore Seeker","19a3c505-b180-47cc-bef3-9e807a8a4a3d","{2}","Artifact Creature — Construct","","normal","deferred","oracle-needs-explicit-semantics",""
"Lorehold Archivist // Restore Relic","a371d035-488e-4b3d-81de-ee7859452c0e","{1}{R}{W} // {2}{R}{W}","Creature — Dwarf Artificer // Sorcery","RW","prepare","deferred","unsupported-mana-cost",""
"Lorehold, the Historian","61a41cf1-60cc-45ba-aa98-493c14e87d9d","{3}{R}{W}","Legendary Creature — Elder Dragon","RW","normal","deferred","oracle-needs-explicit-semantics",""
"Lost Days","3bc47eae-cf6f-4b5e-96e1-94a4f307f474","{4}{U}","Instant — Lesson","U","normal","deferred","spell-needs-explicit-semantics",""
"Lost Hours","4a3f1110-919c-4fd0-8154-9c9441a7d770","{1}{B}","Sorcery","B","normal","deferred","spell-needs-explicit-semantics",""
"Lost Isle Calling","0efbf29c-09a0-4472-83ad-8d692c0232a5","{1}{U}","Enchantment","U","normal","deferred","noncreature-needs-explicit-semantics",""
"Lost Legacy","532f3f03-37af-46b6-bafb-031e9a3df056","{1}{B}{B}","Sorcery","B","normal","deferred","spell-needs-explicit-semantics",""
"Lost Monarch of Ifnir","626a979f-bed7-4cb1-9ab7-c3f2bbe37781","{3}{B}","Creature — Zombie Noble","B","normal","deferred","oracle-needs-explicit-semantics",""
"Lost in Memories","69ac3757-66f8-47d4-af7b-dda66c96c254","{1}{R}","Enchantment — Aura","R","normal","deferred","noncreature-needs-explicit-semantics",""
"Lost in Thought","820ba630-c543-491c-8c77-ada69b01c79d","{1}{U}","Enchantment — Aura","U","normal","deferred","noncreature-needs-explicit-semantics",""
"Lost in the Maze","3a024389-91a1-460c-b4e8-3f212d2b8400","{X}{U}{U}","Enchantment","U","normal","deferred","noncreature-needs-explicit-semantics",""
"Lost in the Spirit World","a37adc18-ea11-4972-8d04-936cf3fe2613","{2}{U}","Sorcery","U","normal","deferred","spell-needs-explicit-semantics",""
"Lost in the Woods","a354b7f3-bfd0-47c6-bb16-1a5f8e26467d","{3}{G}{G}","Enchantment","G","normal","deferred","noncreature-needs-explicit-semantics",""
"Lost to Legend","a92edf30-6c7f-481c-855e-2a7dc4963ea7","{W}{W}","Instant","W","normal","deferred","spell-needs-explicit-semantics",""
"Lotleth Giant","5e0bd136-e7e9-49f0-910b-a9fb0b9c481a","{6}{B}","Creature — Zombie Giant","B","normal","deferred","oracle-needs-explicit-semantics",""
"Lotus Ring","ca4d3d27-ea3a-44ac-96e9-b52b563129f8","{3}","Artifact — Equipment","","normal","deferred","noncreature-needs-explicit-semantics",""
"Lotus Vale","01fc5bb3-ebd7-4ab4-8aef-2ece1e1d9b7c","","Land","","normal","deferred","land-needs-explicit-semantics",""
"Lotuslight Dancers","83c8f1ca-194e-4cb6-9d5f-029133c1edbc","{2}{B}{G}{U}","Creature — Zombie Bard","BGU","normal","deferred","oracle-needs-explicit-semantics",""
"Love Song of Night and Day","9b87b4cd-4fb9-4bb3-b4c0-de1fcc6f44a2","{2}{W}","Enchantment — Saga","W","saga","deferred","saga-chapter-needs-complete-semantics",""
"Lovestruck Beast // Heart's Desire","7e84aff5-2cb6-4214-befd-3d2de31229e5","{2}{G} // {G}","Creature — Beast Noble // Sorcery — Adventure","G","adventure","deferred","adventure-needs-complete-face-semantics",""
"Lovisa Coldeyes","720879dc-7593-41c0-ab3d-936069f26930","{3}{R}{R}","Legendary Creature — Human","R","normal","deferred","oracle-needs-explicit-semantics",""
"Loxodon Lifechanter","24adb147-95b2-4854-86a5-17d43f904601","{5}{W}","Creature — Elephant Cleric","W","normal","deferred","oracle-needs-explicit-semantics",""
"Loxodon Peacekeeper","89390fc2-17af-4754-bb1c-7af905d4a2a8","{1}{W}","Creature — Elephant Soldier","W","normal","deferred","oracle-needs-explicit-semantics",""
"Loxodon Smiter","18ac2282-83af-4acc-b20b-6a95771da688","{1}{G}{W}","Creature — Elephant Soldier","GW","normal","deferred","oracle-needs-explicit-semantics",""
"Loxodon Surveyor","970f26d4-c916-444a-a2d2-4c1f5bb5556b","{2}{G}","Creature — Elephant Scout","G","normal","deferred","oracle-needs-explicit-semantics",""
"Loyal Cathar // Unhallowed Cathar","bf28a2ed-cad7-48a7-9dec-06e43af73e9c","","Creature — Human Soldier // Creature — Zombie Soldier","BW","transform","deferred","double-faced-card-needs-complete-front-semantics",""
"Loyal Gryff","f5c07218-c8bf-4990-a366-f3c065d0b30c","{2}{W}","Creature — Hippogriff","W","normal","deferred","oracle-needs-explicit-semantics",""
"Loyal Gyrfalcon","f693cf76-0919-4b89-92de-e619be006abb","{3}{W}","Creature — Bird","W","normal","deferred","oracle-needs-explicit-semantics",""
"Loyal Inventor","eff22b28-88b8-4251-937f-4c06b6ca7bd2","{2}{U}","Creature — Human Artificer","U","normal","deferred","oracle-needs-explicit-semantics",""
"Loyal Sentry","54b1a496-1f8e-4581-8260-bad57b25c6e3","{W}","Creature — Human Soldier","W","normal","deferred","oracle-needs-explicit-semantics",""
"Lozhan, Dragons' Legacy","be2075af-1cd8-42fe-a29b-a0fd2b047a44","{3}{U}{R}","Legendary Creature — Dragon Shaman","RU","normal","deferred","oracle-needs-explicit-semantics",""
"Lucius the Eternal","fa726aac-f4ae-4e34-ac08-36c1f50215f3","{3}{B}{R}","Legendary Creature — Astartes Warrior","BR","normal","deferred","oracle-needs-explicit-semantics",""
"Luck Bobblehead","d870a93a-8399-4004-9b45-2b49b001f165","{3}","Artifact — Bobblehead","","normal","deferred","noncreature-needs-explicit-semantics",""
"Lucy MacLean, Positively Armed","1196a4cb-544c-4e7b-91cd-f0820b21a80d","{4}{W}","Legendary Creature — Human Survivor","W","normal","deferred","oracle-needs-explicit-semantics",""
"Ludevic's Test Subject // Ludevic's Abomination","53175678-1f5c-4889-9086-66381b3ddc3a","","Creature — Lizard Egg // Creature — Lizard Horror","U","transform","deferred","double-faced-card-needs-complete-front-semantics",""
"Ludevic, Necro-Alchemist","3b9d587c-39d2-44a2-9802-e4217ed389c0","{1}{U}{R}","Legendary Creature — Human Wizard","RU","normal","deferred","oracle-needs-explicit-semantics",""
"Ludevic, Necrogenius // Olag, Ludevic's Hubris","f6f684f6-0c8a-4676-ba4e-d3e064293128","","Legendary Creature — Human Wizard // Legendary Creature — Zombie","BU","transform","deferred","double-faced-card-needs-complete-front-semantics",""
"Lukka, Bound to Ruin","8e68eba1-65ac-4c03-956f-45e7b5695e2a","{2}{R}{R/G/P}{G}","Legendary Planeswalker — Lukka","GR","normal","deferred","unsupported-mana-cost",""
"Lukka, Coppercoat Outcast","1ca97394-4e8c-4698-bea1-554f9b10927b","{3}{R}{R}","Legendary Planeswalker — Lukka","R","normal","deferred","noncreature-needs-explicit-semantics",""
"Lullmage Mentor","752566b4-d3f5-4f10-b6f5-7185809f7a9d","{1}{U}{U}","Creature — Merfolk Wizard","U","normal","deferred","oracle-needs-explicit-semantics",""
"Lullmage's Domination","fdac480b-03b5-4ece-b42a-e6928b609419","{X}{U}{U}{U}","Sorcery","U","normal","deferred","spell-needs-explicit-semantics",""
"Lulu, Stern Guardian","969fa9b9-161f-461e-8878-9ebcff5a2669","{2}{U}","Legendary Creature — Human Wizard","U","normal","deferred","oracle-needs-explicit-semantics",""
"Lumaret's Favor","d514704b-4055-48ed-9da3-e4397fca7576","{1}{G}","Instant","G","normal","deferred","spell-needs-explicit-semantics",""
"Lumbering Battlement","dcf7d099-a726-4388-9744-70d37c5ea860","{4}{W}","Creature — Beast","W","normal","deferred","oracle-needs-explicit-semantics",""
"Lumbering Laundry","6afe9cc7-80e4-4607-8633-6013d96bd19c","{5}","Artifact Creature — Golem","","normal","deferred","oracle-needs-explicit-semantics",""
"Lumbering Megasloth","6492c381-0fa1-4d43-bf72-d8956d8a34b6","{10}{G}{G}","Creature — Sloth Mutant","G","normal","deferred","oracle-needs-explicit-semantics",""
"Lumen-Class Frigate","3aa0cda4-fb2d-4fd4-84f6-482089a85547","{1}{W}","Artifact — Spacecraft","W","normal","deferred","noncreature-needs-explicit-semantics",""
"Lumengrid Augur","d5409a7c-b928-4819-a560-e80226cf61f0","{3}{U}","Creature — Vedalken Wizard","U","normal","deferred","oracle-needs-explicit-semantics",""
"Luminarch Ascension","90076bf5-aa9a-4a6e-9035-9aa97fd5561e","{1}{W}","Enchantment","W","normal","deferred","noncreature-needs-explicit-semantics",""
"Luminate Primordial","c1bc819a-f291-4b55-94f7-269f160ce76b","{5}{W}{W}","Creature — Avatar","W","normal","deferred","oracle-needs-explicit-semantics",""
"Luminescent Rain","7e23a2e7-b8b3-424f-8922-a1adb1db3f4d","{2}{G}","Instant","G","normal","deferred","spell-needs-explicit-semantics",""
"Lunar Convocation","cb68d1e4-36aa-4a00-b671-8959e7d526d4","{W}{B}","Enchantment","BW","normal","deferred","noncreature-needs-explicit-semantics",""
"Lunar Force","31b18e10-c74d-4384-a0e2-def0b3ec4799","{2}{U}","Enchantment","U","normal","deferred","noncreature-needs-explicit-semantics",""
"Lunar Hatchling","cb2c8ea9-c125-4742-a562-b693254152e5","{4}{G}{U}","Creature — Alien Beast","GU","normal","deferred","oracle-needs-explicit-semantics",""
"Lunar Insight","56b4a2f7-2d35-4d05-8d26-4f9f16c5f9f5","{2}{U}","Sorcery","U","normal","deferred","spell-needs-explicit-semantics",""
"Lunar Rejection","d2f693d9-f338-41d6-b7e2-ddaa5f4bcc3b","{1}{U}","Instant","U","normal","deferred","spell-needs-explicit-semantics",""
"Lunarch Veteran // Luminous Phantom","0761a0e7-d443-4bab-bb15-307c83d4a6a1","","Creature — Human Cleric // Creature — Spirit Cleric","W","transform","deferred","double-faced-card-needs-face-transition-semantics",""
"Lure","7a7425ba-4478-4bc4-855f-abf947ea4fa2","{1}{G}{G}","Enchantment — Aura","G","normal","deferred","noncreature-needs-explicit-semantics",""
"Lure of Prey","3c83ea11-7141-41a2-ba77-1ed2722dfe74","{2}{G}{G}","Instant","G","normal","deferred","spell-needs-explicit-semantics",""
"Lurker","4aedbbaf-b6ae-4bf0-84eb-31b0b28cfdfa","{2}{G}","Creature — Beast","G","normal","deferred","oracle-needs-explicit-semantics",""
"Lurking Automaton","412fbf73-a471-42ad-83fe-14f19e4e9595","{5}","Artifact Creature — Construct","","normal","deferred","oracle-needs-explicit-semantics",""
"Lurking Informant","4ad09b75-6d7a-46c7-95a2-d7f90995fdd1","{1}{U/B}","Creature — Human Rogue","BU","normal","deferred","oracle-needs-explicit-semantics",""
"Lurking Skirge","21e90420-aedb-4a84-ba57-d5eae497b09b","{1}{B}","Enchantment","B","normal","deferred","noncreature-needs-explicit-semantics",""
"Lurrus of the Dream-Den","3bc757c1-3adb-4321-8832-8e1cc9e687f7","{1}{W/B}{W/B}","Legendary Creature — Cat Nightmare","BW","normal","deferred","oracle-needs-explicit-semantics",""
"Lust for War","0ba206f3-c3f3-4e53-b072-e5e70feaa00d","{2}{R}","Enchantment — Aura","R","normal","deferred","noncreature-needs-explicit-semantics",""
"Lutri, the Spellchaser","158a6225-a246-4fd6-aa57-0df8067b4383","{1}{U/R}{U/R}","Legendary Creature — Elemental Otter","RU","normal","deferred","oracle-needs-explicit-semantics",""
"Luxior, Giada's Gift","2f9263d7-916f-4535-95d2-888ab73cf339","{1}","Legendary Artifact — Equipment","","normal","deferred","noncreature-needs-explicit-semantics",""
"Luxurious Locomotive","c68c2a98-9a6d-4199-af3a-78eb92beda48","{5}","Artifact — Vehicle","","normal","deferred","noncreature-needs-explicit-semantics",""
"Lymph Sliver","c3469de8-4bdb-42d4-9fc0-75fe31c3f6e5","{4}{W}","Creature — Sliver","W","normal","deferred","oracle-needs-explicit-semantics",""
"Lynde, Cheerful Tormentor","dc386f6c-bd4a-462a-8d42-0e7a552a4f17","{1}{U}{B}{R}","Legendary Creature — Human Warlock","BRU","normal","deferred","oracle-needs-explicit-semantics",""
"Lyzolda, the Blood Witch","0d80caeb-d2c2-4d0a-b903-dea170fee2cf","{1}{B}{R}","Legendary Creature — Human Cleric","BR","normal","deferred","oracle-needs-explicit-semantics",""
"Maarika, Brutal Gladiator","a46f9f5c-775c-470d-8935-9556e1bbb23d","{2}{B}{R}{G}","Legendary Creature — Human Warrior","BGR","normal","deferred","oracle-needs-explicit-semantics",""
"Mabel, Heir to Cragflame","4b11e435-5888-4e3b-a255-db817392163f","{1}{R}{W}","Legendary Creature — Mouse Soldier","RW","normal","deferred","oracle-needs-explicit-semantics",""
"Macabre Reconstruction","04633ecd-eac0-426a-83a5-8e88262fca30","{3}{B}","Sorcery","B","normal","deferred","spell-needs-explicit-semantics",""
"Machinist's Arsenal","e7fff34e-9b80-4a67-a917-fd9efddb5a1f","{4}{W}","Artifact — Equipment","W","normal","deferred","noncreature-needs-explicit-semantics",""
"Mad Dog","097bce84-22b1-4d7b-b566-e7c23eb626b9","{1}{R}","Creature — Dog","R","normal","deferred","oracle-needs-explicit-semantics",""
"Madame Masque","b5b0e85f-6651-4667-829c-2253ff8b130d","{4}{B}","Legendary Creature — Human Villain","B","normal","deferred","oracle-needs-explicit-semantics",""
"Madame Null, Power Broker","73413bd5-8c40-4d45-8f05-c20c39ee4017","{2}{B}","Legendary Creature — Demon Advisor","B","normal","deferred","oracle-needs-explicit-semantics",""
"Madame Web, Clairvoyant","b1e0841d-b004-40f9-a644-aecb422f6ad5","{4}{U}{U}","Legendary Creature — Mutant Advisor","U","normal","deferred","oracle-needs-explicit-semantics",""
"Madcap Experiment","684e2237-b860-45bf-a053-a02cc7ed1527","{3}{R}","Sorcery","R","normal","deferred","spell-needs-explicit-semantics",""
"Maddening Cacophony","e0f0f290-c83f-4d97-9f5d-786c7136b0d1","{1}{U}","Sorcery","U","normal","deferred","spell-needs-explicit-semantics",""
"Maddening Hex","5d96170f-14dd-496e-a485-bd3b9eedfe02","{1}{R}{R}","Enchantment — Aura Curse","R","normal","deferred","noncreature-needs-explicit-semantics",""
"Maddening Imp","97dea59e-2090-4653-9ed9-86820a20605f","{2}{B}","Creature — Imp","B","normal","deferred","oracle-needs-explicit-semantics",""
"Maddening Wind","c9798915-3f9e-466b-bbd6-f4e126bdb67d","{2}{G}","Enchantment — Aura","G","normal","deferred","noncreature-needs-explicit-semantics",""
"Maelstrom Artisan // Rocket Volley","03931270-504a-4b0b-af3f-918bf124ea07","{1}{R}{R} // {1}{R}","Creature — Minotaur Sorcerer // Sorcery","R","prepare","deferred","unsupported-mana-cost",""
"Maelstrom Djinn","351988f0-59c6-492d-8a39-efa0329e1447","{7}{U}","Creature — Djinn","U","normal","deferred","oracle-needs-explicit-semantics",""
"Maelstrom Muse","30b03dda-409f-4615-b392-477d66eb49f4","{1}{U}{U/R}{R}","Creature — Djinn Wizard","RU","normal","deferred","oracle-needs-explicit-semantics",""
"Maelstrom Nexus","b1c346a4-fc9b-474a-9d51-cac168e363fa","{W}{U}{B}{R}{G}","Enchantment","BGRUW","normal","deferred","noncreature-needs-explicit-semantics",""
"Maelstrom of the Spirit Dragon","49e9fba7-8465-4bbb-95db-73a7e149f494","","Land","","normal","deferred","land-needs-explicit-semantics",""
"Maester Seymour","e7e41303-69a8-4617-b418-142cf41edb9b","{2}{G}","Legendary Creature — Human Elf Cleric","G","normal","deferred","oracle-needs-explicit-semantics",""
"Maestros Ascendancy","d1438681-241b-4d53-9470-4d04a7797ea8","{U}{B}{R}","Enchantment","BRU","normal","deferred","noncreature-needs-explicit-semantics",""
"Maestros Confluence","ef67a41b-a2a6-4f1b-a0d5-15560e99e387","{3}{U}{B}{R}","Sorcery","BRU","normal","deferred","spell-needs-explicit-semantics",""
"Maestros Diabolist","68d61090-a97f-47e9-bc64-7e5c7f8acbf7","{U}{B}{R}","Creature — Vampire Warrior","BRU","normal","deferred","oracle-needs-explicit-semantics",""
"Maestros Initiate","85905607-dceb-4c37-81a3-ab441ce9490c","{2}{B}","Creature — Human Citizen","BRU","normal","deferred","oracle-needs-explicit-semantics",""
"Maeve, Insidious Singer","2494daad-c81d-4a80-ba5d-e7011af8de46","{2}{U}{U}","Legendary Creature — Siren","U","normal","deferred","oracle-needs-explicit-semantics",""
"Magar of the Magic Strings","f6fee76b-5c34-4e95-962d-d2b38fcef540","{1}{B}{R}","Legendary Creature — Minotaur Performer","BR","normal","deferred","oracle-needs-explicit-semantics",""
"Magda, the Hoardmaster","7fd2beb8-f823-4723-beec-e59b62127490","{1}{R}","Legendary Creature — Dwarf Berserker","R","normal","deferred","oracle-needs-explicit-semantics",""
"Mage Hunter","e3d2df4d-8c79-4391-bc4e-69325958a5be","{3}{B}","Creature — Horror","B","normal","deferred","oracle-needs-explicit-semantics",""
"Mage Slayer","db444262-c40f-4c80-9d14-265c32f77cf1","{1}{R}{G}","Artifact — Equipment","GR","normal","deferred","noncreature-needs-explicit-semantics",""
"Mage's Attendant","94b1e7ed-87f3-44e6-bf34-186dd9a1a0d1","{2}{W}","Creature — Cat Rogue","W","normal","deferred","oracle-needs-explicit-semantics",""
"Magebane Lizard","0c38f159-367b-4e4b-94cd-bf1b0721c3a8","{1}{R}","Creature — Lizard","R","normal","deferred","oracle-needs-explicit-semantics",""
"Mages' Contest","b0a6bf69-7e21-4d5c-ac72-5946d84fc2ca","{1}{R}{R}","Instant","R","normal","deferred","spell-needs-explicit-semantics",""
"Mageta the Lion","cd170b1c-879b-414e-9f0e-5e7fb099e7bb","{3}{W}{W}","Legendary Creature — Human Spellshaper","W","normal","deferred","oracle-needs-explicit-semantics",""
"Magewright's Stone","9e500094-c430-4c10-89cc-97f4f18b08bc","{2}","Artifact","","normal","deferred","noncreature-needs-explicit-semantics",""
"Magical Hack","cba229fa-9035-405b-b091-3798898a37ee","{U}","Instant","U","normal","deferred","spell-needs-explicit-semantics",""
"Magister Sphinx","1d86ae29-4705-4bbc-8922-9b4e031df5b1","{4}{W}{U}{B}","Artifact Creature — Sphinx","BUW","normal","deferred","oracle-needs-explicit-semantics",""
"Magister of Worth","0429d146-332f-4fb0-8273-c73679ca6d47","{4}{W}{B}","Creature — Angel","BW","normal","deferred","oracle-needs-explicit-semantics",""
"Magitek Scythe","0d5bbde7-6f33-4708-b3ab-34d4528af649","{4}","Artifact — Equipment","","normal","deferred","noncreature-needs-explicit-semantics",""
"Magma Burst","f5af6d60-decd-4e04-8841-da2d3000a405","{3}{R}","Instant","R","normal","deferred","spell-needs-explicit-semantics",""
"Magma Hellion","88f6575d-a6cb-4b2c-90dd-c6239f3c6e4d","{6}{R}","Creature — Hellion","R","normal","deferred","oracle-needs-explicit-semantics",""
"Magma Pummeler","1a7c5807-afdc-4855-afd5-39839d96fc77","{X}{R}{R}","Creature — Elemental","R","normal","deferred","oracle-needs-explicit-semantics",""
"Magmablood Archaic","c6a5adc8-ee57-421e-8235-0b3160f44568","{2/R}{2/R}{2/R}","Creature — Avatar","R","normal","deferred","oracle-needs-explicit-semantics",""
"Magmakin Artillerist","900b9409-9c16-414d-8674-2ea42c2415a1","{2}{R}","Creature — Elemental Pirate","R","normal","deferred","unbound-event-amount",""
"Magmaquake","a52037df-0be1-4c99-b9eb-b033157af203","{X}{R}{R}","Instant","R","normal","deferred","spell-needs-explicit-semantics",""
"Magmatic Channeler","382267da-c63c-432e-8a11-f803cf0e3a3a","{1}{R}","Creature — Human Wizard","R","normal","deferred","oracle-needs-explicit-semantics",""
"Magmatic Galleon","59322432-591a-4e8d-aff5-12ca1feb1028","{3}{R}{R}","Artifact — Vehicle","R","normal","deferred","noncreature-needs-explicit-semantics",""
"Magmatic Hellkite","2a3b29c3-f69d-4671-8907-600d21528153","{2}{R}{R}","Creature — Dragon","R","normal","deferred","oracle-needs-explicit-semantics",""
"Magmatic Sprinter","85d025d9-158d-4bf1-b3b2-361f3fe59663","{2}{R}","Creature — Phyrexian Warrior","R","normal","deferred","oracle-needs-explicit-semantics",""
"Magnanimous Magistrate","ecd3ddd7-2fa8-466b-9319-ae51c744a05f","{5}{W}","Creature — Human Advisor","W","normal","deferred","oracle-needs-explicit-semantics",""
"Magnetic Mountain","5c28fc22-7da6-4f15-b02b-6ff10981466c","{1}{R}{R}","Enchantment","R","normal","deferred","noncreature-needs-explicit-semantics",""
"Magnetic Snuffler","8f85088c-256d-4925-a4dd-aafcc2632282","{5}","Artifact Creature — Construct","","normal","deferred","oracle-needs-explicit-semantics",""
"Magnetic Theft","9b22cc97-003f-4227-acdc-7a0857674b67","{R}","Instant","R","normal","deferred","spell-needs-explicit-semantics",""
"Magnetic Web","c62c8006-5650-43cb-8247-da097aa42376","{2}","Artifact","","normal","deferred","noncreature-needs-explicit-semantics",""
"Magnigoth Treefolk","b153e4c4-6557-43a6-8404-e4450f879945","{4}{G}","Creature — Treefolk","G","normal","deferred","oracle-needs-explicit-semantics",""
"Magosi, the Waterveil","4bdffa67-e6b3-4588-b76e-c11db6f043ca","","Land","U","normal","deferred","land-needs-explicit-semantics",""
"Magus Lucea Kane","ae9f5c80-bc96-4ab3-bb5b-e8bd470e9eab","{1}{G}{U}{R}","Legendary Creature — Human Tyranid Wizard","GRU","normal","deferred","oracle-needs-explicit-semantics",""
"Magus of the Abyss","66958c48-3ac7-4f41-aa3e-adacaa24ea4f","{3}{B}","Creature — Human Wizard","B","normal","deferred","oracle-needs-explicit-semantics",""
"Magus of the Arena","44865261-16f8-42d2-a388-a57173142eb0","{4}{R}{R}","Creature — Human Wizard","R","normal","deferred","oracle-needs-explicit-semantics",""
"Magus of the Balance","ed450f48-e69d-48d7-82cc-79cf89b2a1fb","{1}{W}","Creature — Human Wizard","W","normal","deferred","oracle-needs-explicit-semantics",""
"Magus of the Bridge","e48951ed-1c32-449a-898e-e5b1c0d0ee73","{B}{B}{B}","Creature — Human Wizard","B","normal","deferred","oracle-needs-explicit-semantics",""
"Magus of the Future","10758aa7-0f64-499f-8010-514e8fc31b7e","{2}{U}{U}{U}","Creature — Human Wizard","U","normal","deferred","oracle-needs-explicit-semantics",""
"Magus of the Jar","d547275a-bc31-4c05-9db3-27b5efe47bb1","{3}{U}{U}","Creature — Human Wizard","U","normal","deferred","oracle-needs-explicit-semantics",""
"Magus of the Mind","b39d98c3-0173-4d7c-83d0-f80db82fc9ba","{4}{U}{U}","Creature — Human Wizard","U","normal","deferred","oracle-needs-explicit-semantics",""
"Magus of the Mirror","f587676e-d45f-4b1d-be2c-b404d8f55fb3","{4}{B}{B}","Creature — Human Wizard","B","normal","deferred","oracle-needs-explicit-semantics",""
"Magus of the Order","ff922641-142a-4774-be3e-36a5183fce2b","{2}{G}{G}","Creature — Human Wizard","G","normal","deferred","oracle-needs-explicit-semantics",""
"Magus of the Scroll","992df446-75a1-4174-9fde-9a912d332172","{R}","Creature — Human Wizard","R","normal","deferred","oracle-needs-explicit-semantics",""
"Magus of the Vineyard","e6788809-6b34-4701-89af-b422ba35efb2","{G}","Creature — Human Wizard","G","normal","deferred","oracle-needs-explicit-semantics",""
